transaction_id,account_id,amount,transaction_date,transaction_time,merchant,location,transaction_type,is_fraud
893c3e41-e5fe-4813-a768-9bfce8f7dbf1,699159,335.52,2024-07-11,20:27:00,"Robertson, Cole and Smith",Port Nathan,debit,0
7bc1932c-5a54-4da6-a829-779b4ade354c,316109,4631.18,2024-08-12,7:54:00,Conrad-Jenkins,Nguyenport,debit,0
54d41c49-5e5b-4d45-ad83-e5863c448f2a,785215,8108.08,2024-02-15,16:31:00,Stafford Ltd,Williamsville,credit,0
fcf545c0-89fc-48fa-8bff-9c81b75233be,443694,770.13,2024-08-03,7:16:00,Ramirez LLC,Lake Jennifer,debit,0
6d7d70c3-3cab-4e6a-9af1-56d63c70e4d2,245426,6035.87,2024-06-26,7:09:00,"Jennings, James and Nunez",Lake Adamshire,debit,0
076e43e7-a747-4082-be51-450b082797e3,967013,6752.9,2024-03-13,5:14:00,Herring Inc,Port Robin,debit,0
2939bf9e-1370-4fa3-bab8-4a9f82db9855,417828,6621.84,2024-06-11,1:04:00,Bryant Ltd,Port Darren,credit,0
e3218dfb-d0cd-4507-aead-f58cff60dbae,351008,9694.19,2024-06-24,12:34:00,Robinson-Boyd,Port Melissashire,debit,0
fb75aaf0-8d7a-4067-be92-99201e1f14c9,104252,2364.18,2024-06-21,22:55:00,Duffy-Watts,East Josephberg,credit,0
e5a2966c-87bc-4508-9804-5b41e4ad998d,417572,5368.09,2024-08-28,12:46:00,"Bauer, Reynolds and Moyer",North Jacob,credit,0
a59496a5-3656-467c-bb95-0169225fbd2e,675649,4511.72,2024-08-05,21:30:00,Boyer-Rodriguez,South Daniellechester,debit,0
37dc6994-6023-4f06-97a3-0621dc2755bb,712941,3253.64,2024-06-30,20:40:00,Williams-Benitez,East Jeffrey,credit,0
f6c3cada-0c1d-4075-8f7a-8206e21a8d8b,532925,2391.36,2024-01-05,16:20:00,Hayes-Jacobs,Birdview,credit,0
2fa5bbda-1e09-4ee5-b9ef-5a1c9c917d57,957717,6070.71,2024-05-18,0:07:00,Myers Inc,Adrianhaven,credit,0
69dd0489-b110-456f-a6ce-281619c9872d,996664,818.69,2024-03-21,15:27:00,Jackson LLC,Nelsonmouth,debit,0
84f2b610-a56d-421f-84ec-22761ee60b7d,492350,9130.5,2024-07-15,18:06:00,"Spears, Taylor and Stewart",Ashleyhaven,credit,0
939772b2-5056-45d4-80e7-45f6372869fc,913184,7733.65,2024-05-24,6:02:00,Brown Ltd,Trantown,debit,0
89237e65-9f5d-4635-a3fa-5429a94e5d8b,946672,1917.35,2024-07-08,23:07:00,Martin-Cook,Georgeport,debit,0
